[PARALLEL-2] Starting focused search on top candidates...
[PARALLEL-2] [22:51:42] Tested: 89,101,809 | Rate: 2112/s
[PARALLEL-2] [22:52:12] Tested: 90,169,698 | Rate: 2136/s
[PARALLEL-2] [22:52:42] Tested: 91,287,423 | Rate: 2161/s
[PARALLEL-2] [22:53:12] Tested: 92,370,501 | Rate: 2185/s
[PARALLEL-2] [22:53:42] Tested: 93,465,849 | Rate: 2209/s
[PARALLEL-2] [22:54:12] Tested: 94,606,308 | Rate: 2235/s
[PARALLEL-2] [22:54:42] Tested: 95,751,804 | Rate: 2260/s
[PARALLEL-2] [22:55:12] Tested: 96,829,611 | Rate: 2284/s
[PARALLEL-2] [22:55:42] Tested: 97,947,540 | Rate: 2309/s
[PARALLEL-2] [22:56:12] Tested: 99,037,077 | Rate: 2333/s
[PARALLEL-2] [22:56:42] Tested: 100,125,960 | Rate: 2357/s
[PARALLEL-2] [22:57:12] Tested: 101,204,397 | Rate: 2380/s
[PARALLEL-2] [22:57:42] Tested: 102,276,480 | Rate: 2404/s
[PARALLEL-2] [22:58:12] Tested: 103,391,046 | Rate: 2428/s
[PARALLEL-2] [22:58:42] Tested: 104,489,730 | Rate: 2452/s
[PARALLEL-2] [22:59:12] Tested: 105,547,890 | Rate: 2475/s
[PARALLEL-2] [22:59:42] Tested: 106,657,401 | Rate: 2500/s
[PARALLEL-2] [23:00:12] Tested: 107,758,647 | Rate: 2524/s
[PARALLEL-2] [23:00:42] Tested: 108,847,647 | Rate: 2547/s
[PARALLEL-2] [23:01:12] Tested: 109,926,201 | Rate: 2571/s
[PARALLEL-2] [23:01:42] Tested: 111,082,182 | Rate: 2596/s
[PARALLEL-2] [23:02:12] Tested: 112,156,539 | Rate: 2619/s
[PARALLEL-2] [23:02:42] Tested: 113,270,175 | Rate: 2644/s
[PARALLEL-2] [23:03:12] Tested: 114,336,714 | Rate: 2667/s
[PARALLEL-2] [23:03:42] Tested: 115,429,431 | Rate: 2690/s
[PARALLEL-2] [23:04:12] Tested: 116,570,856 | Rate: 2715/s
